Movie Name,Year,Rating,Votes
Psycho,1960,8.5,787225
World War Z,2013,7.0,786048
2001: A Space Odyssey,1968,8.3,785060
Ant-Man,2015,7.2,782548
Thor: The Dark World,2013,6.7,779864
Kingsman: The Secret Service,2014,7.7,778785
The Hunger Games: Catching Fire,2013,7.5,775961
Skyfall,2012,7.8,774734
1917,2019,8.2,774526
Silver Linings Playbook,2012,7.7,774432
Now You See Me,2013,7.2,772786
Apocalypse Now,1979,8.4,772002
Trainspotting,1996,8.1,769348
Harry Potter and the Prisoner of Azkaban,2004,7.9,769170
The Amazing Spider-Man,2012,6.9,768477
Harry Potter and the Chamber of Secrets,2002,7.5,768139
Million Dollar Baby,2004,8.1,767755
Drive,2011,7.8,765849
X-Men: First Class,2011,7.7,765466
Dune: Part Two,2024,8.4,761643
Suicide Squad,2016,5.9,760988
Rogue One: A Star Wars Story,2016,7.8,758936
Blade Runner 2049,2017,8.0,757410
Harry Potter and the Goblet of Fire,2005,7.7,755792
The Hobbit: The Desolation of Smaug,2013,7.8,755404
District 9,2009,7.9,753833
Pan's Labyrinth,2006,8.2,748058
The Curious Case of Benjamin Button,2008,7.8,747802
Casino Royale,2006,8.0,747399
Deadpool 2,2018,7.6,747206
Home Alone,1990,7.8,746904
Pirates of the Caribbean: At World's End,2007,7.2,746162
Jaws,1975,8.1,740147
Groundhog Day,1993,8.0,737105
Wonder Woman,2017,7.3,736739
The King's Speech,2010,8.0,733894
Jurassic World,2015,6.9,731268
Her,2013,8.0,728490
The Hateful Eight,2015,7.8,724340
Oldboy,2003,8.3,721864
Star Wars: Episode VIII - The Last Jedi,2017,6.8,721041
Transformers,2007,7.1,720566
Frozen,2013,7.4,715244
Ted,2012,6.9,712059
Coco,2017,8.4,711809
There Will Be Blood,2007,8.2,711061
Sherlock Holmes,2009,7.5,707673
Harry Potter and the Order of the Phoenix,2007,7.5,702735
Spider-Man 3,2007,6.3,702528
Prometheus,2012,7.0,701764
Life of Pi,2012,7.9,701590
Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,699865
It,2017,7.3,699591
Superbad,2007,7.6,696579
Into the Wild,2007,8.0,696389
X-Men,2000,7.3,693170
The Notebook,2004,7.8,692607
Rocky,1976,8.1,691642
Green Book,2018,8.2,690764
Cast Away,2000,7.8,690261
Tenet,2020,7.3,688703
Barbie,2023,6.8,687686
Baby Driver,2017,7.5,686922
The Bourne Ultimatum,2007,8.0,685147
Hacksaw Ridge,2016,8.1,684719
12 Monkeys,1995,8.0,680414
Zodiac,2007,7.7,676411
Ocean's Eleven,2001,7.7,675757
Don't Look Up,2021,7.1,674030
Taken,2008,7.7,673585
Nightcrawler,2014,7.8,672398
Toy Story 2,1999,7.9,671860
The Matrix Reloaded,2003,7.2,671852
Zombieland,2009,7.5,669416
Argo,2012,7.7,668443
Harry Potter and the Deathly Hallows: Part 1,2010,7.7,666709
Men in Black,1997,7.3,665970
Harry Potter and the Half-Blood Prince,2009,7.6,662769
A Quiet Place,2018,7.5,661154
Captain Marvel,2019,6.7,660991
L.A. Confidential,1997,8.2,659299
Dead Poets Society,1989,8.1,656503
Casablanca,1942,8.5,655904
"Lock, Stock and Two Smoking Barrels",1998,8.1,650067
Limitless,2011,7.4,649873
Bohemian Rhapsody,2018,7.9,648853
Independence Day,1996,7.0,648399
21 Jump Street,2012,7.2,648285
Everything Everywhere All at Once,2022,7.7,646191
The Great Gatsby,2013,7.2,644517
